school_name,school_id
floridastate,3
clemson,1
miamifl,11
virginiatech,16
virginia,8
maryland,5
northcarolina,6
northcarolinastate,7
wakeforest,9
duke,2
georgiatech,4
bostoncollege,10
alabama,73
florida,67
lsu,76
mississippi,77
auburn,75
texasam,84
georgia,68
southcarolina,70
vanderbilt,72
tennessee,71
mississippistate,78
arkansas,74
kentucky,69
missouri,22
oklahoma,24
texas,83
westvirginia,17
tcu,85
baylor,79
oklahomastate,25
kansas,20
texastech,86
iowastate,19
kansasstate,21
ohiostate,33
michigan,29
nebraska,23
indiana,27
michiganstate,30
pennstate,34
illinois,26
northwestern,32
iowa,28
purdue,35
wisconsin,36
minnesota,31
ucla,64
usc,62
washington,65
oregon,60
california,59
arizonastate,58
arizona,57
oregonstate,61
utah,94
washingtonstate,66
stanford,63
colorado,18
boisestate,112
fresnostate,90
sandiegostate,93
coloradostate,89
hawaii,91
nevada,39
newmexico,92
airforce,87
wyoming,96
unlv,40



